scraped_at,created_at,username,comment,likes
2025-12-10T14:28:01,2025-12-07T21:55:08,mrzhbudiono_12,Orang ini knp JD penjabat sihh,0
2025-12-10T14:28:01,2025-12-07T21:54:30,agasmicky,Anjing nih orang memang😂,0
2025-12-10T14:28:01,2025-12-07T21:53:44,adisoekarno.10,Stres,0
2025-12-10T14:28:01,2025-12-07T21:51:34,rantheee,Aduh bisa diem ga org satu ini,0
2025-12-10T14:28:01,2025-12-07T21:49:29,phison_vip,Ga ada rencana penjarahan k rumahnya kah?,0
2025-12-10T14:28:01,2025-12-07T21:46:25,neng_zielah,Jelek jgn belagu ngapa pak 😢,0
2025-12-10T14:28:01,2025-12-07T21:46:18,_putraikhsan,Jelema apa naon sih ieu,0
2025-12-10T14:28:01,2025-12-07T21:46:18,zamrizenchaniago,"SI KELING TOLOL, HIDUP GA GUNA MAU NGARUR PILKADA, MAU CURANG BIAR GIBRAN MENANG? NAJISS CAPRESS BODOH",0
2025-12-10T14:28:01,2025-12-07T21:46:02,phoad_08,Babi,0
2025-12-10T14:28:01,2025-12-07T21:45:16,soul.from.ember,,0
2025-12-10T14:28:01,2025-12-07T21:34:03,amvkd_,BAHLIL KONTOOOOOOOOOOOOOOL,0
2025-12-10T14:28:01,2025-12-07T21:33:31,fauzankamilll_,,0
2025-12-10T14:28:01,2025-12-07T21:33:06,dedekfajar99,Pemerintah kontol makin kesini makin ngontolin,0
2025-12-10T14:28:01,2025-12-07T21:32:48,alsqabdzr__,SIH ANJING INI SUSAHIN BET HIDUP NYA!! 🔥🔥,0
2025-12-10T14:28:01,2025-12-07T21:32:34,dewiastuti_1930,Agakkkk laennn kauu,0
2025-12-10T14:28:01,2025-12-07T21:30:28,noppan11,Gk onok wong maneh tah liyane iki,0
2025-12-10T14:28:01,2025-12-07T21:29:28,tiuone,Bubarkan DPR yg setuju like,0
2025-12-10T14:28:01,2025-12-07T21:29:20,bang.troy_,Kalo boleh gua mewakili rakyat indonesia by one dengan beliao,0
